flow_timestamp,flow_amt,flow_txn,flow_length,flow_length_nrev,flow_duration,flow_acct_IDs,flow_txn_IDs,flow_txn_types,flow_amts,flow_revs,flow_txns,flow_durs,flow_categs
2019-08-18 00:00:00,10.0,0.25,0,0,5.0,"[AAA,XYZ,provider]","[10000010,10000011]","[cash-in,mobile-minutes]","[10.0,10.0]","[0.0,0.0]","[0.25,1.0]",[5.0],"(deposit,withdraw)"
2019-08-18 00:00:00,10.0,0.25,0,0,8.0,"[AAA,XYZ,provider]","[10000010,10000012]","[cash-in,mobile-minutes]","[10.0,10.0]","[0.0,0.0]","[0.25,1.0]",[8.0],"(deposit,withdraw)"
2019-08-18 00:00:00,10.0,0.25,0,0,15.0,"[AAA,XYZ,provider]","[10000010,10000013]","[cash-in,mobile-minutes]","[10.0,10.0]","[0.0,0.0]","[0.25,1.0]",[15.0],"(deposit,withdraw)"
2019-08-18 00:00:00,10.0,0.25,0,0,16.0,"[AAA,XYZ,provider]","[10000010,10000014]","[cash-in,mobile-minutes]","[10.0,10.0]","[0.0,0.0]","[0.25,1.0]",[16.0],"(deposit,withdraw)"
2019-08-21 06:00:00,10.0,0.3333333333333333,0,0,5.0,"[BBB,XYZ,provider]","[10000015,10000016]","[cash-in,mobile-minutes]","[10.0,10.0]","[0.0,0.0]","[0.3333333333333333,1.0]",[5.0],"(deposit,withdraw)"
2019-08-21 06:00:00,10.0,0.3333333333333333,0,0,24.0,"[BBB,XYZ,provider]","[10000015,10000017]","[cash-in,mobile-minutes]","[10.0,10.0]","[0.0,0.0]","[0.3333333333333333,1.0]",[24.0],"(deposit,withdraw)"
2019-08-22 08:00:00,10.0,1.0,0,0,32.0,"[CCC,XYZ,provider]","[10000018,10000019]","[cash-in,mobile-minutes]","[10.0,10.0]","[0.0,0.0]","[1.0,1.0]",[32.0],"(deposit,withdraw)"
2019-08-21 06:00:00,10.0,0.3333333333333333,0,0,98.0,"[BBB,XYZ,provider]","[10000015,10000020]","[cash-in,mobile-minutes]","[10.0,10.0]","[0.0,0.0]","[0.3333333333333333,1.0]",[98.0],"(deposit,withdraw)"
2019-08-27 08:00:00,10.0,0.5,0,0,0.0,"[XYZ,XYZ,provider]","[accounting,10000022]","[inferred,mobile-minutes]","[10.0,10.0]","[0.0,0.0]","[0.5,1.0]",[0.0],"(deposit,withdraw)"
2019-08-27 08:00:00,5.0,0.25,0,0,11.0,"[XYZ,XYZ,provider]","[accounting,10000023]","[inferred,mobile-minutes]","[5.0,5.0]","[0.0,0.0]","[0.25,1.0]",[11.0],"(deposit,withdraw)"
2019-08-28 12:00:00,180.0,0.9,0,0,2.0,"[EEE,XYZ,utility]","[10000024,10000025]","[cash-in,bill-payment]","[180.0,180.0]","[0.0,0.0]","[0.9,1.0]",[2.0],"(deposit,withdraw)"
2019-08-28 12:00:00,10.0,0.05,0,0,32.0,"[EEE,XYZ,provider]","[10000024,10000026]","[cash-in,mobile-minutes]","[10.0,10.0]","[0.0,0.0]","[0.05,1.0]",[32.0],"(deposit,withdraw)"
2019-08-28 12:00:00,10.0,0.05,0,0,48.0,"[EEE,XYZ,provider]","[10000024,10000027]","[cash-in,mobile-minutes]","[10.0,10.0]","[0.0,0.0]","[0.05,1.0]",[48.0],"(deposit,withdraw)"
2019-08-27 08:00:00,5.0,0.25,0,0,94.0,"[XYZ,XYZ,provider]","[accounting,10000028]","[inferred,mobile-minutes]","[5.0,5.0]","[0.0,0.0]","[0.25,1.0]",[94.0],"(deposit,withdraw)"
2019-08-17 23:59:59,20.0,1.0,0,0,336.0002777777778,"[XYZ,XYZ,XYZ]","[initial,final]","[inferred,inferred]","[20.0,20.0]","[0.0,0.0]","[1.0,1.0]",[336.0002777777778],"(deposit,withdraw)"
